id,species,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,data11,data12,data13,data14,data15,data16,data17,data18,data19,data20,data21,data22,data23,data24,data25,data26,data27,data28,data29,data30,data31,data32,data33,data34,data35,data36,data37,data38,data39,data40,data41,data42,data43,data44,data45,data46,data47,data48,data49,data50,data51,data52,data53,data54,data55,data56,data57,data58,data59,data60,data61,data62,data63,data64,data65,data66,data67,data68,data69,data70,data71,data72,data73,data74,data75,data76,data77,data78,data79,data80,data81,data82,data83,data84,data85,data86,data87,data88,data89,data90,data91,data92,data93,data94,data95,data96,data97,data98,data99,data100,data101,data102,data103,data104,data105,data106,data107,data108,data109,data110,data111,data112,data113,data114,data115,data116,data117,data118,data119,data120
101,STUPIFY,0.000618007,-0.000280318,-0.001250263,-0.002258951,-0.003303044,-0.004429381,-0.005717578,-0.00722932,-0.008958601,-0.010814972,-0.012678753,-0.01453417,-0.016545631,-0.018944138,-0.021844719,-0.025065175,-0.027725054,-0.028012451,-0.024285641,-0.017085096,-0.009368866,-0.004187703,-0.002591378,-0.003777667,-0.006417356,-0.009425335,-0.011856035,-0.012701837,-0.011347867,-0.008319266,-0.005112784,-0.003029163,-0.002314367,-0.002349786,-0.002363201,-0.001921402,-0.001018257,8.79E-05,0.00111863,0.00195171,-0.007207182,-0.006901652,-0.006782109,-0.006874345,-0.006990424,-0.006834356,-0.006268035,-0.005532624,-0.005180228,-0.005658459,-0.006794194,-0.007632865,-0.006999153,-0.004611885,-0.001931761,-0.001933462,-0.007808685,-0.021223558,-0.040851528,-0.062370202,-0.08069258,-0.092723455,-0.098113395,-0.097798789,-0.092003454,-0.079483702,-0.0588846,-0.031380383,-0.002013464,0.022399009,0.037207481,0.041997846,0.03979925,0.034978775,0.0311258,0.029755589,0.03035896,0.031502868,0.032033394,0.031627432,0.010190101,0.009028508,0.007657172,0.00612661,0.004672666,0.003563986,0.00284689,0.002191603,0.001037822,-0.00095699,-0.00347395,-0.005560914,-0.006323489,-0.005918279,-0.006166545,-0.010143231,-0.020473872,-0.037054328,-0.056086329,-0.072014692,-0.081049561,-0.082986149,-0.080433888,-0.076999272,-0.075483509,-0.076520569,-0.078146322,-0.0768642,-0.070265908,-0.059286697,-0.047473149,-0.038045414,-0.032031979,-0.028615054,-0.026336983,-0.023981951,-0.020976534,-0.017390881,-0.01361545,-0.009995822
102,STUPIFY,-0.00547463,-0.006391437,-0.007410212,-0.00853003,-0.009708837,-0.010886949,-0.01202986,-0.013162228,-0.014359763,-0.015694846,-0.017172978,-0.018708992,-0.020176788,-0.021525344,-0.022868477,-0.024437116,-0.026420006,-0.028751424,-0.030780943,-0.031095413,-0.028293308,-0.022563662,-0.01612001,-0.011494424,-0.00963605,-0.009798393,-0.010763299,-0.011882382,-0.013174184,-0.014595716,-0.015307333,-0.014055993,-0.010533726,-0.005960332,-0.002058263,0.000254466,0.001150363,0.001356303,0.001560299,0.002103418,-0.036462896,-0.038577746,-0.040434895,-0.042145639,-0.043843207,-0.045569845,-0.047198381,-0.048475914,-0.049199236,-0.049407422,-0.049412208,-0.049572745,-0.049932874,-0.050031438,-0.049185756,-0.047225629,-0.045191683,-0.045373067,-0.0504453,-0.061950939,-0.078768455,-0.096882009,-0.111439943,-0.119686946,-0.122157575,-0.121388564,-0.11938265,-0.115662339,-0.107308477,-0.091069335,-0.066253803,-0.036394728,-0.007980616,0.013175439,0.024895031,0.028883919,0.028906497,0.028466648,0.029286811,0.03120311,0.043288539,0.044523677,0.045698944,0.046735444,0.047546866,0.048134656,0.04862798,0.049207247,0.049938423,0.050643198,0.050947322,0.050539809,0.04947883,0.048243748,0.047345438,0.046659999,0.044959394,0.040152475,0.030461812,0.016044577,-0.000310147,-0.014587946,-0.024079454,-0.028532437,-0.029421622,-0.028871101,-0.028903569,-0.030827401,-0.034865285,-0.040024213,-0.044255569,-0.045491182,-0.0432468,-0.038968758,-0.034583233,-0.031095058,-0.028521728,-0.026514777,-0.024777821,-0.02317954
103,STUPIFY,-0.009097543,-0.00994212,-0.010800906,-0.011721675,-0.012768391,-0.013981764,-0.015347878,-0.016802015,-0.018278659,-0.019797772,-0.021511286,-0.023607736,-0.026119453,-0.028754553,-0.030701737,-0.03053367,-0.026914405,-0.020143589,-0.012704164,-0.007540044,-0.005856835,-0.006783945,-0.008745713,-0.010826074,-0.013024825,-0.015452121,-0.017380434,-0.017456201,-0.015128602,-0.011460561,-0.008175276,-0.006237336,-0.005495427,-0.005239573,-0.004809985,-0.003896361,-0.002569647,-0.001116701,0.000197639,0.001273896,-0.016778339,-0.017751327,-0.018815049,-0.019741245,-0.020326573,-0.020617012,-0.020982676,-0.021903036,-0.023544579,-0.025457897,-0.026772243,-0.026949924,-0.026632852,-0.027879819,-0.033426533,-0.045151568,-0.062431787,-0.081692423,-0.09817316,-0.108730131,-0.113227696,-0.113674111,-0.112042145,-0.108318222,-0.100162666,-0.084562574,-0.060565353,-0.031259853,-0.003013114,0.018038297,0.029265405,0.032116737,0.030431595,0.028104536,0.027372066,0.028420233,0.030193407,0.031591606,0.032210028,0.032326073,0.030614397,0.031075804,0.031436213,0.031864441,0.032411544,0.032893277,0.032958645,0.032362888,0.031263597,0.030238144,0.029860188,0.03002687,0.029492714,0.026075938,0.017768346,0.004359957,-0.011669209,-0.026254119,-0.03622726,-0.040789581,-0.041087288,-0.039220406,-0.03746216,-0.037507296,-0.039880306,-0.043672471,-0.046677272,-0.046455179,-0.042169286,-0.035309622,-0.028309537,-0.022795969,-0.019154785,-0.01702466,-0.015774442,-0.014781343,-0.013632521,-0.012194035,-0.010529889,-0.008788137
104,STUPIFY,-0.028905611,-0.031087035,-0.033192844,-0.035120278,-0.037035891,-0.039359871,-0.042444311,-0.046262155,-0.050239678,-0.052921289,-0.051960039,-0.045721783,-0.03559784,-0.02573612,-0.019829551,-0.018647843,-0.0204567,-0.022846274,-0.023989765,-0.023015101,-0.020020025,-0.015900908,-0.011879487,-0.008864015,-0.007052414,-0.006022728,-0.005151803,-0.004004683,-0.002471603,-0.000675781,0.00119673,0.003015855,0.004732158,0.006339483,0.007834187,0.009206485,0.010457282,0.011610697,0.012703017,0.01375621,-0.032457829,-0.03261427,-0.033334966,-0.034421206,-0.035025614,-0.034184504,-0.031746011,-0.02898989,-0.028361697,-0.032420502,-0.042467893,-0.057381792,-0.073659055,-0.087240193,-0.09562527,-0.09837635,-0.096063387,-0.088982141,-0.076788645,-0.059342783,-0.037955981,-0.015715674,0.00365996,0.017563935,0.025499563,0.028834579,0.02975284,0.030131403,0.030898741,0.032064389,0.033202893,0.033963293,0.03429061,0.034337099,0.034253665,0.034066451,0.033711069,0.033150129,0.032450096,0.031755245,0.003452567,0.00298878,0.001318316,-0.000893965,-0.00218027,-0.001329441,0.001233081,0.002753788,-0.001028257,-0.013494226,-0.034349755,-0.058635097,-0.079221787,-0.091136403,-0.093802425,-0.090175576,-0.084635804,-0.080868639,-0.080272173,-0.081616838,-0.082233801,-0.079980883,-0.074586243,-0.067473622,-0.060520883,-0.054931277,-0.050894254,-0.047907183,-0.045316354,-0.042717952,-0.040052152,-0.037440055,-0.034964112,-0.032569995,-0.030121246,-0.027516414,-0.024758779,-0.021930659,-0.019106272,-0.016278622
105,STUPIFY,-0.008427893,-0.009132525,-0.009940704,-0.010844896,-0.011801001,-0.012751548,-0.013682907,-0.014685074,-0.015920519,-0.017479767,-0.019272787,-0.020988748,-0.021923221,-0.02089739,-0.017006481,-0.010907949,-0.004908547,-0.001279484,-0.000649364,-0.002061573,-0.004156642,-0.006131862,-0.007865882,-0.009376342,-0.010252912,-0.009796731,-0.007764622,-0.004734155,-0.001633912,0.000903443,0.002714692,0.003910869,0.004681294,0.005206135,0.005619641,0.006000306,0.006383769,0.006775625,0.007155939,0.007488718,-0.031231058,-0.031872656,-0.032161312,-0.032351914,-0.032878193,-0.034000112,-0.035448683,-0.036415994,-0.036093468,-0.034538184,-0.033230682,-0.034745673,-0.041549003,-0.054495422,-0.071826563,-0.089564999,-0.103519758,-0.111508182,-0.114030299,-0.113101354,-0.110278171,-0.105270804,-0.096097785,-0.080717182,-0.059039553,-0.033856542,-0.00983415,0.008790785,0.020106769,0.024912592,0.025745713,0.025339684,0.025395716,0.026248152,0.027359573,0.028092038,0.028210938,0.027927809,0.027632451,0.027598822,0.02035041,0.020703118,0.021235299,0.021661241,0.02161172,0.020975255,0.020159922,0.019962848,0.020973574,0.022829581,0.023858371,0.021555155,0.013946117,0.001169384,-0.013993186,-0.027471985,-0.036230307,-0.039551386,-0.038700733,-0.035883109,-0.033157912,-0.031608186,-0.031117143,-0.030748004,-0.029409398,-0.026612933,-0.022956195,-0.019747583,-0.017961478,-0.017567189,-0.017786081,-0.017795686,-0.017204713,-0.016107373,-0.014863313,-0.013802957,-0.013037761,-0.01246126,-0.011880019,-0.011148563
106,STUPIFY,-0.022700751,-0.024329324,-0.025955134,-0.027651642,-0.029496767,-0.031512249,-0.033629228,-0.03571539,-0.037690278,-0.039660895,-0.041893048,-0.044598342,-0.047746736,-0.050859893,-0.052649125,-0.051224906,-0.045656527,-0.037471329,-0.029815791,-0.025033116,-0.023440602,-0.024028338,-0.025590936,-0.027092645,-0.02742164,-0.025484107,-0.021062151,-0.015386313,-0.010322665,-0.006961407,-0.005130656,-0.003996927,-0.002826605,-0.001312855,0.000470527,0.002281698,0.0039399,0.005432899,0.006862565,0.008324453,-0.046044828,-0.047537608,-0.048738386,-0.049405446,-0.049589968,-0.049730581,-0.050402615,-0.051809993,-0.053393534,-0.054000465,-0.05274359,-0.050062818,-0.048117522,-0.050007599,-0.058154597,-0.072666407,-0.090689265,-0.107669762,-0.119951722,-0.126427067,-0.127897178,-0.125068994,-0.117058187,-0.101754013,-0.078031,-0.048163009,-0.018001558,0.005907842,0.019878576,0.024424683,0.023124047,0.020324895,0.019017351,0.019912594,0.022013751,0.023955282,0.025047259,0.025477712,0.025854427,0.026623627,0.012498448,0.011641336,0.010842934,0.010259154,0.00978226,0.009006245,0.007498671,0.005257793,0.002969596,0.001683846,0.001938518,0.002869779,0.002020011,-0.003682833,-0.015964059,-0.033427269,-0.051670571,-0.065798595,-0.073259877,-0.074636565,-0.072544382,-0.070016397,-0.069114558,-0.070062567,-0.071165084,-0.069915445,-0.065059635,-0.057782383,-0.050565489,-0.045122418,-0.041609189,-0.039219621,-0.037010286,-0.034384028,-0.03125298,-0.027898343,-0.024641638,-0.021608473,-0.018725991,-0.015860044
107,STUPIFY,-0.013307481,-0.014336701,-0.015339167,-0.016323922,-0.017347642,-0.018480156,-0.019747797,-0.021104233,-0.022456365,-0.023748882,-0.025071831,-0.026655958,-0.028676727,-0.031070731,-0.033494339,-0.035118434,-0.034388692,-0.029847408,-0.022000054,-0.013786456,-0.008369502,-0.006714951,-0.00749236,-0.008725539,-0.009260003,-0.009120114,-0.008879432,-0.008706424,-0.008110693,-0.006675316,-0.004706149,-0.002917941,-0.001723789,-0.001030308,-0.000527835,2.63E-05,0.000727781,0.001551895,0.002413486,0.003233254,-0.017411399,-0.018199266,-0.019159896,-0.020053706,-0.020545834,-0.02048158,-0.020102588,-0.019964699,-0.02051251,-0.021573665,-0.022224955,-0.021355956,-0.018752292,-0.015927025,-0.015886539,-0.021766232,-0.035032014,-0.054097567,-0.074410036,-0.090726603,-0.10016915,-0.103459869,-0.103541391,-0.102851505,-0.101189282,-0.095617848,-0.082521238,-0.060548313,-0.032476443,-0.004373199,0.017659153,0.030575807,0.035158373,0.034678366,0.032790799,0.031841961,0.032329585,0.033507177,0.034433505,0.034688627,0.036468986,0.036895735,0.037094802,0.037245382,0.037577153,0.038138793,0.038651815,0.038639229,0.037836055,0.03659933,0.035878576,0.036549152,0.038438848,0.039714852,0.037250934,0.028213449,0.01223974,-0.007449363,-0.025547644,-0.037894299,-0.043397257,-0.043562881,-0.041194614,-0.039161692,-0.039260424,-0.04163659,-0.044937062,-0.046861561,-0.045286678,-0.039841918,-0.032390983,-0.025543038,-0.020798024,-0.018095794,-0.016563994,-0.015349031,-0.014006302,-0.012507874,-0.01102652,-0.00968608
108,STUPIFY,-0.007164637,-0.00765696,-0.008207115,-0.00881342,-0.009462909,-0.010143792,-0.010862402,-0.011652311,-0.012562771,-0.013629973,-0.014850893,-0.016177488,-0.017546079,-0.018938637,-0.020411104,-0.022034617,-0.023827883,-0.025703691,-0.02721858,-0.027243789,-0.024397932,-0.018481358,-0.011310809,-0.005523452,-0.002591554,-0.002204825,-0.003209672,-0.004735536,-0.006491183,-0.008237223,-0.009196688,-0.008338178,-0.005457921,-0.001671238,0.001478544,0.003219648,0.003814955,0.003998846,0.004361631,0.005088001,-0.024058893,-0.024873852,-0.02560923,-0.026337466,-0.027135585,-0.028007359,-0.02884312,-0.029479327,-0.029844099,-0.030077469,-0.030486668,-0.031299627,-0.032368616,-0.033100055,-0.032806617,-0.031387808,-0.029910257,-0.0305551,-0.035722751,-0.046649685,-0.062286739,-0.079331676,-0.093841453,-0.103409688,-0.108128393,-0.109707552,-0.109580026,-0.107323159,-0.100480771,-0.086079845,-0.063096238,-0.034284848,-0.005612987,0.016877784,0.030233752,0.035326818,0.035450367,0.034243359,0.034028986,0.035256437,0.037699092,0.038632108,0.03954329,0.040321288,0.040856323,0.041140471,0.041307277,0.041546835,0.041933476,0.042306449,0.042346959,0.041857516,0.041045988,0.040509755,0.040760169,0.041503055,0.041209545,0.03745794,0.028087768,0.012660589,-0.006683888,-0.025905936,-0.04114982,-0.050559692,-0.054549882,-0.054997661,-0.054177981,-0.05382485,-0.054641773,-0.056188649,-0.056908351,-0.054837593,-0.049273701,-0.041731434,-0.034711458,-0.029722356,-0.026698982,-0.024764189,-0.023073657,-0.021178915
109,STUPIFY,-0.015781266,-0.016909795,-0.018050348,-0.019215527,-0.020430447,-0.0217161,-0.023069803,-0.024455435,-0.02582599,-0.027180877,-0.028586059,-0.030114246,-0.031809998,-0.033666615,-0.035338327,-0.035777523,-0.033742881,-0.029236573,-0.024063437,-0.020431536,-0.019248607,-0.01994939,-0.021467342,-0.023033088,-0.024293356,-0.024900255,-0.024085955,-0.021030179,-0.015892582,-0.010084423,-0.005214017,-0.001967673,-1.82E-05,0.001351033,0.002681557,0.004135281,0.005572798,0.006774674,0.007639458,0.00823123,-0.019859504,-0.020853807,-0.021752666,-0.022357814,-0.022597755,-0.022658965,-0.022923433,-0.023677168,-0.024764213,-0.025510709,-0.025147332,-0.023585746,-0.022033098,-0.022901424,-0.028812847,-0.040991641,-0.057899781,-0.075422585,-0.089069438,-0.096548675,-0.098603234,-0.097727928,-0.095859855,-0.092622526,-0.085387085,-0.071232284,-0.049562983,-0.023524603,0.001169648,0.019376905,0.029079257,0.031684213,0.030532754,0.028860407,0.028351869,0.028945254,0.029674828,0.029724733,0.028972428,0.027865746,0.030665215,0.030828467,0.031145242,0.031749379,0.03257397,0.033307971,0.033567496,0.033228264,0.032675999,0.032685528,0.033845631,0.035809617,0.036925081,0.034736873,0.027330249,0.014750305,-0.00058284,-0.015032469,-0.025696002,-0.031541927,-0.033259746,-0.032571576,-0.031451946,-0.0313908,-0.03295201,-0.035628331,-0.038004417,-0.038605205,-0.037120776,-0.034625658,-0.032424974,-0.031001517,-0.030086221,-0.029261252,-0.028294686,-0.027161934,-0.025963523,-0.024801091,-0.023678202,-0.022504189
110,STUPIFY,-0.005929647,-0.007104814,-0.008317439,-0.009491058,-0.010587115,-0.011631518,-0.012701123,-0.013874662,-0.01518602,-0.016616938,-0.018137499,-0.019770993,-0.021611605,-0.023730671,-0.026057526,-0.028357124,-0.030166715,-0.03063727,-0.028867361,-0.024998072,-0.020743324,-0.0181671,-0.017985077,-0.019333637,-0.020876437,-0.021807011,-0.022051106,-0.021812347,-0.02083244,-0.018224784,-0.013454276,-0.007354144,-0.001699952,0.002134968,0.003877127,0.004069066,0.00351272,0.002905196,0.002669211,0.00292514,0.016830647,0.017681732,0.018319137,0.01864388,0.018725234,0.018802837,0.019114404,0.01965825,0.020108428,0.020034473,0.019340047,0.018576019,0.018731496,0.020431714,0.023028932,0.024342765,0.021443878,0.012216193,-0.003022555,-0.020950875,-0.036730326,-0.046848387,-0.051021222,-0.051734441,-0.051919207,-0.052448981,-0.051219379,-0.04449689,-0.029728316,-0.008016299,0.015636818,0.034945553,0.045857055,0.048181829,0.044768304,0.039436215,0.034994179,0.032321515,0.030783696,0.029358723,0.028310034,0.028977618,0.029538394,0.029991456,0.030395879,0.030830171,0.031287963,0.031605356,0.031528856,0.030939152,0.030079577,0.029530152,0.029792859,0.0306789,0.030916504,0.028378137,0.021118553,0.008889913,-0.005969035,-0.019465446,-0.028307599,-0.031515831,-0.030208123,-0.026628655,-0.023227722,-0.021759145,-0.022745687,-0.025563798,-0.028730274,-0.030389543,-0.029449167,-0.026555988,-0.023478749,-0.021482135,-0.02058047,-0.020075322,-0.019338749,-0.018155755,-0.016694841,-0.015287093
